config,fold,cal_err,min_cell,under_05
4 bins (2x2),2021-22,0.03495061919579844,74,True
4 bins (2x2),2022-23,0.0916992529057177,74,False
4 bins (2x2),2023-24,0.06510139286655299,70,False
4 bins (2x2),2024-25,0.05317694123790383,70,False
6 bins (3x2),2021-22,0.03017001419862536,23,True
6 bins (3x2),2022-23,0.09329433658621308,22,False
6 bins (3x2),2023-24,0.07691689303414984,22,False
6 bins (3x2),2024-25,0.058172567551259845,23,False
8 bins (4x2),2021-22,0.042426129503469405,23,True
8 bins (4x2),2022-23,0.09321080988463488,22,False
8 bins (4x2),2023-24,0.07909561841581257,22,False
8 bins (4x2),2024-25,0.05968633013534763,23,False
10 bins (5x2),2021-22,0.0518943014389062,15,False
10 bins (5x2),2022-23,0.09351543632314552,17,False
10 bins (5x2),2023-24,0.0991216103610519,16,False
10 bins (5x2),2024-25,0.06891079301268781,12,False
12 bins (4x3),2021-22,0.09023070730685583,10,False
12 bins (4x3),2022-23,0.11825886679885907,8,False
12 bins (4x3),2023-24,0.11999888255380342,10,False
12 bins (4x3),2024-25,0.0793715727215823,11,False
15 bins (5x3),2021-22,0.10543182874157557,8,False
15 bins (5x3),2022-23,0.11853273603337229,8,False
15 bins (5x3),2023-24,0.12752805243329826,8,False
15 bins (5x3),2024-25,0.08764769974286762,9,False
