Period,Score,Pressure,Optimal_Action,Expected_Reward,Q_Gap,Training_Samples,Q_std_PK,Q_agg_rot,Q_imm_sub,Q_keep_rested,Q_short_shifts
OT,tied,low_pressure,short_shifts,-0.12389678642316523,0.3456936337378227,3,-0.46959042016098795,-0.5381229450310977,-0.6074849237792234,-0.5145940171407226,-0.12389678642316523
3rd,trailing_1,low_pressure,imm_sub,0.06504465766865708,0.28640430412018203,8,-0.3736670783778542,-0.22135964645152495,0.06504465766865708,-0.4279986144478377,-0.39929041524238734
2nd,trailing_2plus,high_pressure,std_PK,0.08188549059757777,0.5665043423309932,11,0.08188549059757777,-0.4846188517334154,-1.1898706351903559,-0.8333722212709729,-0.8254437607873772
3rd,tied,low_pressure,keep_rested,0.5036905799355367,0.7540614687713294,17,-0.4127959363912267,-0.2503708888357927,-0.39194136826820875,0.5036905799355367,-0.48505525911614755
3rd,tied,high_pressure,std_PK,0.6559627002354871,0.36351106257568594,5,0.6559627002354871,0.29245163765980114,0.08848266746703749,-0.49482970785833874,0.20591011121331362
2nd,trailing_1,low_pressure,imm_sub,0.7842643600026165,0.4464375450987337,25,0.3378268149038828,-0.10969649451673805,0.7842643600026165,0.14927445691460212,-0.2009577494603926
2nd,trailing_2plus,low_pressure,imm_sub,0.7983396927321766,0.5293700764088166,11,-0.17117863775527103,0.26896961632336003,0.7983396927321766,-0.045317590767904564,-0.22846831583206406
3rd,leading_2plus,high_pressure,keep_rested,0.8004822518400148,0.2994857390637319,25,0.5009965127762829,0.274610262197183,0.3548689642690157,0.8004822518400148,0.44251122782930297
3rd,trailing_2plus,high_pressure,short_shifts,0.8737089823250553,0.5946223684082834,17,0.07717327715981998,0.27908661391677186,-0.11390891033018305,-0.024797858169526357,0.8737089823250553
2nd,tied,high_pressure,short_shifts,0.890590663993102,0.7922011061284953,23,-0.19101511875912586,-0.4001784776254542,-0.3326023056902585,0.09838955786460679,0.890590663993102
3rd,trailing_1,high_pressure,agg_rot,0.9002151315269027,0.22899894560265222,8,0.34602480194623986,0.9002151315269027,0.4200648918316884,0.6712161859242505,0.6534466113514803
3rd,trailing_2plus,low_pressure,imm_sub,0.9719723879478224,0.8460926317173945,31,0.11129516764161979,0.12587975623042785,0.9719723879478224,-0.11482048264227349,-0.09790176468362027
2nd,trailing_1,high_pressure,agg_rot,0.9900680811028333,0.9724805893358511,19,-0.2959366887855646,0.9900680811028333,0.017587491766982155,-0.3363126992196272,-0.23477570954889163
3rd,leading_1,low_pressure,short_shifts,1.0515199886133648,0.5080810767342846,22,0.5268517661090989,0.5434389118790802,0.17917746947068414,0.5220664427500648,1.0515199886133648
2nd,tied,low_pressure,imm_sub,1.2000482477982743,0.9708503111094778,33,0.22919793668879654,-0.08860831805837749,1.2000482477982743,-0.11350268190802182,0.050030637497676334
3rd,leading_2plus,low_pressure,short_shifts,1.3124517879730297,0.16091229981028854,23,1.0561819627180413,1.1515394881627412,1.0168134014865935,1.1431887077687561,1.3124517879730297
1st,trailing_1,low_pressure,agg_rot,1.4434949302851396,0.09813764911133349,16,1.1818187819637693,1.4434949302851396,1.3453572811738062,1.2661768346371338,1.2296127060075446
1st,tied,high_pressure,agg_rot,1.5898895759143128,0.5219137039805748,18,0.9296974126873886,1.5898895759143128,0.8464336028749405,1.033202350758512,1.067975871933738
1st,leading_1,low_pressure,imm_sub,1.6357156727580024,0.5377203968243232,22,1.0979952759336793,1.0084068206920558,1.6357156727580024,0.9094638128791748,0.9944165362206395
1st,leading_2plus,high_pressure,agg_rot,1.7213269171611276,0.526808623658026,3,1.1945182935031016,1.7213269171611276,0.6938123016037384,0.5397511291087688,1.1142050135433845
3rd,leading_1,high_pressure,agg_rot,1.7367712230979033,0.13328851194450664,7,1.3646869114376186,1.7367712230979033,1.3336307707783468,1.4215053643481848,1.6034827111533967
1st,trailing_1,high_pressure,agg_rot,1.8846002173873886,0.18707671613587884,4,1.3917958829836532,1.8846002173873886,1.5953402881546073,1.4816412115360613,1.6975235012515097
2nd,leading_1,low_pressure,short_shifts,1.9323909337196608,0.5705092943359868,27,1.361881639383674,1.3422369884826708,1.3595822027013629,1.2544672820414424,1.9323909337196608
1st,leading_1,high_pressure,keep_rested,1.9942443634883265,0.7764454676108745,13,1.161232578582427,1.1197763643913947,1.1562751333133774,1.9942443634883265,1.217798895877452
2nd,leading_2plus,low_pressure,imm_sub,2.0954450714295705,0.1287795480954641,24,1.9666655233341064,1.392048412821057,2.0954450714295705,1.9261828378774846,1.8030233913995601
1st,tied,low_pressure,short_shifts,2.1220035650712905,0.5387975133917382,52,1.5262566972089384,1.4055588977831748,1.5516362062998164,1.5832060516795523,2.1220035650712905
2nd,leading_1,high_pressure,imm_sub,2.229808123354335,0.7090656023967195,24,1.4066669910751914,1.018594336941022,2.229808123354335,1.5207425209576155,1.001422589915341
1st,leading_2plus,low_pressure,short_shifts,2.2921693249287878,0.12070557820012517,4,1.9626670645046767,2.1150982181026077,2.1714637467286626,1.6107458051865682,2.2921693249287878
2nd,leading_2plus,high_pressure,agg_rot,2.3457083649605943,0.5178678532703029,22,1.7208168156942256,2.3457083649605943,1.6577728041565565,1.7637078616774815,1.8278405116902914
1st,trailing_2plus,high_pressure,agg_rot,3.065602010620962,0.5171529630433929,6,2.280333033605117,3.065602010620962,2.4559629290118403,2.303382246496751,2.548449047577569
1st,trailing_2plus,low_pressure,imm_sub,4.155436316412759,0.27877633324266027,1,3.843953175102693,3.787990568145034,4.155436316412759,3.8707604120991905,3.8766599831700987
