Player,Lethality_Rate,Momentum_Factor,Penalties_Taken,Avg_ES_Shift_Sec,DZ_Intensity,Fatigue_Risk,Decision_Score
Player_01,0.0,0.2857142857142857,14,63.0,5.0,22.6,-31.042857142857148
Player_02,0.0,0.75,4,0.0,0.0,0.0,7.5
Player_03,0.2,0.2,5,0.0,0.0,0.0,-4.0
Player_04,0.3,0.2,10,0.0,0.0,0.0,-7.0
Player_05,0.5,0.0,2,47.0,4.0,17.4,-41.1
Player_06,0.0,0.0,1,0.0,0.0,0.0,0.0
Player_07,0.1923076923076923,0.1153846153846153,26,0.0,0.0,0.0,-4.615384615384615
Player_08,0.4,0.2,5,0.0,0.0,0.0,-10.0
Player_09,0.3333333333333333,0.3333333333333333,6,0.0,0.0,0.0,-6.666666666666667
Player_10,1.0,0.0,1,0.0,0.0,0.0,-30.0
Player_11,0.0,0.2,5,0.0,0.0,0.0,2.0
Player_12,0.0,0.625,8,0.0,0.0,0.0,6.25
Player_13,0.375,0.125,16,0.0,0.0,0.0,-10.0
Player_14,0.0,1.0,1,0.0,0.0,0.0,10.0
Player_15,0.25,0.25,20,0.0,0.0,0.0,-5.0
Player_16,0.2857142857142857,0.0,7,56.0,11.0,33.2,-58.371428571428574
Player_17,0.3,0.5,10,0.0,0.0,0.0,-4.0
Player_18,0.217391304347826,0.4782608695652174,23,0.0,0.0,0.0,-1.7391304347826084
Player_19,0.2631578947368421,0.1578947368421052,19,0.0,0.0,0.0,-6.315789473684211
Player_20,0.2857142857142857,0.0,7,52.0,1.0,12.4,-27.17142857142857
Player_21,0.0,0.0,1,0.0,0.0,0.0,0.0
Player_22,0.3333333333333333,0.0,6,0.0,0.0,0.0,-10.0
Player_23,0.0,0.1428571428571428,7,0.0,0.0,0.0,1.4285714285714284
Player_24,0.3076923076923077,0.3846153846153846,13,0.0,0.0,0.0,-5.384615384615385
Player_25,0.2857142857142857,0.1428571428571428,7,0.0,0.0,0.0,-7.142857142857142
Player_26,0.125,0.375,8,0.0,0.0,0.0,0.0
Player_27,0.0,0.2,5,0.0,0.0,0.0,2.0
Player_28,1.0,0.0,1,0.0,0.0,0.0,-30.0
Player_29,0.3333333333333333,0.1666666666666666,6,0.0,0.0,0.0,-8.333333333333334
Player_30,0.25,0.125,8,0.0,0.0,0.0,-6.25
Player_31,0.0833333333333333,0.4166666666666667,12,0.0,0.0,0.0,1.666666666666667
Player_32,0.1379310344827586,0.1034482758620689,29,0.0,0.0,0.0,-3.1034482758620694
Player_33,0.238095238095238,0.3333333333333333,21,59.0,7.0,25.8,-42.509523809523806
Player_34,0.25,0.5,4,0.0,0.0,0.0,-2.5
Player_35,0.0,0.2,5,0.0,0.0,0.0,2.0
Player_36,0.0833333333333333,0.3333333333333333,12,0.0,0.0,0.0,0.833333333333333
Player_37,0.0,0.0,1,44.0,5.0,18.8,-28.200000000000003
Player_38,0.1428571428571428,0.0952380952380952,21,0.0,0.0,0.0,-3.333333333333333
Player_39,0.0,1.0,1,0.0,0.0,0.0,10.0
Player_40,0.1818181818181818,0.0909090909090909,22,0.0,0.0,0.0,-4.545454545454546
Player_41,0.0,1.0,1,0.0,0.0,0.0,10.0
Player_42,0.1,0.5,10,58.0,5.0,21.6,-30.40000000000001
Player_43,0.0,1.0,1,0.0,0.0,0.0,10.0
Player_44,1.0,0.0,1,0.0,0.0,0.0,-30.0
Player_45,0.1818181818181818,0.0909090909090909,11,0.0,0.0,0.0,-4.545454545454546
Player_46,0.1666666666666666,0.3333333333333333,6,51.0,2.0,14.2,-22.966666666666665
Player_47,0.1538461538461538,0.3076923076923077,13,0.0,0.0,0.0,-1.5384615384615388
Player_48,0.25,0.2222222222222222,36,0.0,0.0,0.0,-5.277777777777778
Player_49,0.25,0.1666666666666666,12,0.0,0.0,0.0,-5.833333333333334
Player_50,0.25,0.375,8,0.0,0.0,0.0,-3.75
Player_51,0.3571428571428571,0.1428571428571428,14,0.0,0.0,0.0,-9.285714285714286
Player_52,0.0,0.0,2,0.0,0.0,0.0,0.0
Player_53,0.15,0.25,20,0.0,0.0,0.0,-2.0
Player_54,0.0,0.5714285714285714,7,52.0,1.0,12.4,-12.885714285714288
Player_55,0.0,0.0,2,0.0,0.0,0.0,0.0
Player_56,0.0,0.0,7,0.0,0.0,0.0,0.0
Player_57,0.05,0.25,20,63.0,10.0,32.6,-47.900000000000006
Player_58,0.3333333333333333,0.5,6,0.0,0.0,0.0,-5.0
Player_59,0.0,0.6,5,55.0,8.0,27.0,-34.5
Player_60,0.0,0.3333333333333333,3,0.0,0.0,0.0,3.333333333333333
